Producto,ID de producto,Idioma,Etiqueta de feed,Descripción,Datos importantes,Añadir a la descripción
Yunsey CHAMPU REPAIR ULTRANUTRITIVO 250MLUnidad,1549595278501452873,es,ES,"CHAMPÚ ULTRANUTRITIVO Champú con Vitamina E, antioxidante que protege la fibra capilar y Aceite de Jojoba que nutre en profundidad y recupera el brillo del pelo. Mejora la peinabilidad y fortalece el cabello notablemente, evitando el encrespamiento. ACTIVOS DESTACADOS GLICERINA: Activo humectante que evita la pérdida de agua del cabello, manteniendo su hidratación VITAMINA E: Ingrediente antioxidante que protege las fibras del cabello de su oxidación, evitando así el deterioro del color ACEITE DE JOJOBA: Aceite con propiedades emolientes y nutrientes idóneas para los cabellos secos y quebradizos. Nutre el cabello recuperándolo y aportando el manto lipídico que le es necesario. PROTEÍNAS DE SOJA: Contiene una composición equilibrada de péptidos, aminoácidos y sales minerales, que proporcionan actividad bioestimulante, aumentando la renovación y crecimiento de la fibra capilar. Propiedades acondicionadoras. PANTENOL: Es una vitamina del complejo B, también llamada provitamina B5. Tiene propiedades humectantes de larga duración, previniendo el deterioro del cabello, fortaleciéndolo y mejorando el brillo. MODO DE EMPLEO Aplicar sobre el cabello húmedo y masajear suavemente durante unos minutos. Aclarar abundantemente.",,"Fórmula, Ingrediente, Beneficios"
Yunsey CHAMPU AROMATICO MANGO NEUTRO 1000MLUnidad,8182796731900982517,es,ES,"Champú exclusivo para uso profesional. Acércate al mundo de lo natural a través de las exquisitas fragancias de los champús neutros. Su intenso aroma a mango proporciona una sensación placentera durante el lavado del cabello, aportando al mismo tiempo una intensificación de los sentidos.",,"Fórmula, Ingrediente, Beneficios"
Fanola MASCARILLA ANTI-AMARILLO NO YELLOW 1000MLUnidad,17616656289294800637,es,ES,"Mascarilla Anti-amarillo y antidesvanecimiento del color natural o cosmético. Indicado sobre cabellos rubios, grises, superaclarados y decolorados. Atenúa los reflejos amarillos sobre cabellos grises, sobre colores rubio claro y sobre mechas, gracias a su pigmento extra morado. MODO DE EMLPEO Después de lavar los cabellos con el champú anti-amarillo, ponerse guantes desechables y aplicar a los cabellos húmedos sobre largos y punta. Dejar actuar de 3 a 5 minutos. Enjuagar cuidadosamente.",,"Fórmula, Ingrediente, Beneficios"
Glossco MATIZADOR VERDE No 09 100MLUnidad,10801595428241942377,es,ES,"Gracias a la acción penetrante de sus micropigmentos y el aporte de lípidos nutrientes a la cutícula del cabello y el tratamiento de la fibra capilar desde la superficie hasta el córtex, consigue los efectos deseados en cada coloración. MODO DE EMPLEO Mezclar en un recipiente no metálico 100 ml de Coloración Clossco con 150 ml de oxigenada, aplicar con un pincel sobre cabellos secos, no lavados. Utilizar la técnica deseada con un tiempo máximo de exposición de 35 minutos.",,"Fórmula, Ingrediente, Beneficios"
Glossco MASCARILLA COLOR PLATINIUM NO ORANGE 100MLUnidad,9335380700853682713,es,ES,"COLOR BEAT LIVING HAIR COLOR REFRESCA, MEZCLA Y CUIDA TU CABELLO CON CADA NUEVO LOOK DE COLOR. CREA Y PERSONALIZA TU COLOR CON LOS TONOS FANTASÍA Y DELICIOSOS PASTELES. SUMÉRGETE EN UN UNIVERSO EN EL QUE CUALQUIER COLOR ES POSIBLE. Color Beat es la nueva coloración cosmética de Glossco Professional. Una coloración semipermanente en crema que aporta un tratamiento de nutrición total para tu cabello y le aporta un brillo y una suavidad extraordinarios. Tu cabello más sano que nunca con una coloración libre de amoníaco, sin peróxido, sin sulfatos y libre de PPD. Enriquecida con aceite de Gardenia y Coco, la coloración Color Beat hidrata, nutre y suaviza tu cabello como si de una mascarilla capilar reestructurante se tratara. Este complejo oleoso compuesto de triglicéridos conserva una elevada afinidad con las proteínas del cabello y, debido a su bajo peso molecular y a su estructura de cadena lineal, es capaz de penetrar las capas más profundas de las fibras capilares. COLORACIÓN VIVA Colores vivos, refrescos y tonos fantasía. En 100 ml. REFRESH Básicamente imprescindibles. Revitaliza el color entre tintes, da vida a tu cabello y cuídalo con un extra de nutrición y brillo. Siete tonos basic refrescan el color de tu cabello de una forma única. Sin agentes químicos agresivos. Libres de PPD, amoníaco y sulfatos. Rubio auténtico, tentador chocolate, cobre enérgico, rojo escarlata y castaño y negro... Una paleta de color que se complementa con los platinos correctores, no yellow y no orange, que neutralizan los indeseados amarillos de rubios extraclaros y platinos. MODO DE EMPLEO Aplicar directamente sobre el cabello lavado y secado con una toalla. Distribuir la crema por el cabello con un peine, con los dedos o con bol y paletina. Se recomienda el uso de guantes. Dejar actuar de 3 a 5 minutos. A mayor tiempo de exposición, más vivo queda el color. Enjuagar abundantemente con agua hasta que esta salga clara (no emplear champú). En caso de manchas en la piel, pueden eliminarse con un quitamanchas capilar o con un poco de champú y algodón.",,"Fórmula, Ingrediente, Beneficios"
Keen Strok CHAMPU BAIN GRAS ANTI GRASA 1000MLUnidad,15574056357506671105,es,ES,Champú específico para cabellos grasos. Restablece el equilibrio dérmico del cuero cabelludo y elimina la grasa. Ácido salicilico regulador de grasa + mentol refrescante + extracto de romero purificante. MODO DE EMPLEO Aplicar sobre el cabello mojado y emulsionar hasta obtener espuma. Aclarar abundantemente. Repetir la operación en todo el largo del cabello. Aclarar.,,"Fórmula, Ingrediente, Beneficios"
MASCARILLA FUNNY FRESA 200MLUnidad,17183740238362890555,es,ES,"Liheto Funny Mascarilla Capilar Aloe Vera 200ml Mascarilla con alto poder antioxidante para todo tipo de cabellos. Hidrata el cabello dejándolo suave y brillante. Formulada con un rico aroma a fresa. MODO DE EMPLEO Después de lavar al cabello, secar con toalla. Aplicar el producto sobre medios y puntas. Masajear para repartir bien el producto. Dejar actuar unos 5 minutos y enjuagar.",,"Fórmula, Ingrediente, Beneficios"
LENDAN CARE SERIES ULTRA REPAIR RECOVERY 6X10ML (PACK)Unidad,13556233610470377230,es,ES,"Lendan Care Series Ultra Repair Recovery 6 x 10 ml Resumen corto Lendan Care Series Ultra Repair Recovery 6 x 10 ml es un tratamiento intensivo en ampollas diseñado para reparar, nutrir y fortalecer el cabello dañado desde el interior de la fibra capilar. Su fórmula concentrada combina células madre de origen vegetal, ceramidas, provitamina B5 y vitamina E para restaurar la resistencia, mejorar la elasticidad y devolver el brillo natural al cabello. Además, ayuda a controlar el encrespamiento y protege frente a futuras agresiones externas. Gracias a su elevada concentración de activos, los resultados son visibles desde la primera aplicación y pueden mantenerse durante varios lavados.",,"Fórmula, Ingrediente, Beneficios"
Fanola MASCARILLA ANTI-AMARILLO NO YELLOW 350MLUnidad,6245908672199319127,es,ES,"Mascarilla Anti-amarillo y antidesvanecimiento del color natural o cosmético. Indicado sobre cabellos rubios, grises, superaclarados y decolorados. Atenúa los reflejos amarillos sobre cabellos grises, sobre colores rubio claro y sobre mechas, gracias a su pigmento extra morado. MODO DE EMLPEO Después de lavar los cabellos con el champú anti-amarillo, ponerse guantes desechables y aplicar a los cabellos húmedos sobre largos y punta. Dejar actuar de 3 a 5 minutos. Enjuagar cuidadosamente.",,"Fórmula, Ingrediente, Beneficios"
CHAMPU BAIN ULTRA VIOLETA 1000MLUnidad,4793636779402653632,es,ES,"Este champú violeta es rico en agentes neutralizantes para eliminar de forma instantánea los reflejos amarillos. Ideal para rubios fríos y cabellos grises, el uso regular de este champú proporciona una protección antiamarilleamiento, manteniendo los rubios fríos durante más tiempo. Protege el cabello de la oxidación diaria y de la contaminación, restaurando el brillo y la suavidad. Enriquecido con una combinación de ácido hialurónico y flor de Edelweiss, el producto potencia la luminosidad del rubio mientras nutre intensamente la fibra. Neutraliza instantáneamente tonos amarillentos indeseados. Proporciona un cabello 94% más fuerte combinando con Cicaflash. Elimina impurezas y partículas de contaminación. Repara la superficie de la fibra hasta un 46% cuando se combina con Cicaflash.",,"Fórmula, Ingrediente, Beneficios"
Glossco MASCARILLA COLOR REAL BLONDE 100ML.Unidad,11832623173852065958,es,ES,"COLOR BEAT LIVING HAIR COLOR REFRESCA, MEZCLA Y CUIDA TU CABELLO CON CADA NUEVO LOOK DE COLOR. CREA Y PERSONALIZA TU COLOR CON LOS TONOS FANTASÍA Y DELICIOSOS PASTELES. SUMÉRGETE EN UN UNIVERSO EN EL QUE CUALQUIER COLOR ES POSIBLE. Color Beat es la nueva coloración cosmética de Glossco Professional. Una coloración semipermanente en crema que aporta un tratamiento de nutrición total para tu cabello y le aporta un brillo y una suavidad extraordinarios. Tu cabello más sano que nunca con una coloración libre de amoníaco, sin peróxido, sin sulfatos y libre de PPD. Enriquecida con aceite de Gardenia y Coco, la coloración Color Beat hidrata, nutre y suaviza tu cabello como si de una mascarilla capilar reestructurante se tratara. Este complejo oleoso compuesto de triglicéridos conserva una elevada afinidad con las proteínas del cabello y, debido a su bajo peso molecular y a su estructura de cadena lineal, es capaz de penetrar las capas más profundas de las fibras capilares. COLORACIÓN VIVA Colores vivos, refrescos y tonos fantasía. En 100 ml. REFRESH Básicamente imprescindibles. Revitaliza el color entre tintes, da vida a tu cabello y cuídalo con un extra de nutrición y brillo. Siete tonos basic refrescan el color de tu cabello de una forma única. Sin agentes químicos agresivos. Libres de PPD, amoníaco y sulfatos. Rubio auténtico, tentador chocolate, cobre enérgico, rojo escarlata y castaño y negro... Una paleta de color que se complementa con los platinos correctores, no yellow y no orange, que neutralizan los indeseados amarillos de rubios extraclaros y platinos. MODO DE EMPLEO Aplicar directamente sobre el cabello lavado y secado con una toalla. Distribuir la crema por el cabello con un peine, con los dedos o con bol y paletina. Se recomienda el uso de guantes. Dejar actuar de 3 a 5 minutos. A mayor tiempo de exposición, más vivo queda el color. Enjuagar abundantemente con agua hasta que esta salga clara (no emplear champú). En caso de manchas en la piel, pueden eliminarse con un quitamanchas capilar o con un poco de champú y algodón.",,"Fórmula, Ingrediente, Beneficios"
CHAMPU PROTECTOR ANTIENCRESPAMIENTO 300ML TAHEUnidad,11882877085604217324,es,ES,"Champú protector cabellos opacos o teñidos Gold Protein Antiencrespamiento Champú para cabellos opacos, teñidos o con mechas El champú para cabellos teñidos de Gold Protein aporta nutrientes naturales con una doble acción: proteger y restaurar el brillo, la suavidad y la flexibilidad de la fibra capilar. Características de este champú Brillo. Antiencrespamiento. Control del encrespamiento. Fórmula lavante suave, ideal para cabellos opacos, teñidos o con mechas. Fórmula vegana. MODO DE EMPLEO Sobre cabello húmedo, aplicar cantidad necesaria y masajear suavemente. Aclarar con abundante agua. Repetir la operación si fuera necesario.",,"Fórmula, Ingrediente, Beneficios"
ACONDICIONADOR KODE VOLM VOLUMEN 500MLUnidad,15469291376596015736,es,ES,"Acondicionador especialmente diseñado para aportar un extra de volumen al cabello y eliminar el encrespamiento. Formulado a base de extracto de pepino, aceite de marula y un activo derivado de las proteínas del trigo que proporciona volumen y favorece la hidratación y acondicionamiento del cabello. MODO DE EMPLEO Lavar el cabello con el champú Kode VOLM y retirar el exceso de agua con una toalla. Aplicar el acondicionador de medios a puntas. Dejar actuar de 2 a 5 minutos. Aclarar con abundante agua.",,"Fórmula, Ingrediente, Beneficios"
Periche CHAMPU KODE KLOR COLOR 500MLUnidad,3863368137028472463,es,ES,"Champú de color, para cabellos teñidos o decolorados. Rico en vitaminas y con aceite de macadamia que evita la destrucción y deshidratación del cabello teñido por efecto del sol. MODO DE EMPLEO Aplicar sobre el cabello mojado, masajear durante unos minutos y aclarar.",,"Fórmula, Ingrediente, Beneficios"
Hipertin CHAMPU BUBBLY 5000MLUnidad,131427674965399550,es,ES,"El Champú Bubbly tiene un pH de 6,5 a 7, por lo que es considerado neutro. Mantiene inalterable el estado natural del cabello y el cuero cabelludo. No irrita el cuero cabelludo, aporta brillo y elasticidad, confiere al cabello un tacto sedoso y tiene un agradable olor a Coco. USO: Aplicar una pequeña cantidad de Champú Bubbly sobre el cabello mojado y el cuero cabelludo. Masajear con movimientos circulares de los dedos hasta hacer espuma y enjuagar. Para una mayor efectividad, repetir la aplicación dejando que el champú actúe unos minutos. Para finalizar el proceso aclarar con abundante agua.",,"Fórmula, Ingrediente, Beneficios"
